Codigo,Entidad,Nombre Fantasia,Comuna,Longitud,Latitud
533,Servipag,533-MONTSERRAT PAJARITOS,Estacion Central,-70.7300319562957,-33.467789217985704
534,Servipag,534-MONSERRAT PAINE,Paine,-70.74300228,-33.81424288
551,Servipag,551-SAN FRANCISCO TALAGANTE LOS AROMOS,Talagante,-70.90982,-33.656296999999995
558,Servipag,558-SANTA ISABEL EL ALBA (EX MONTECARLO),La Florida,-70.5719898457932,-33.5397089329608
560,Servipag,560-SANTA ISABEL CIUDAD SATELITE,Maipu,-70.78675715,-33.56051014
563,Servipag,563-SANTA ISABEL HUERFANOS,Santiago,-70.65709652,-33.44011211
567,Servipag,567-CENTRO COMERCIAL  FRANKLIN,Santiago,-70.64673178,-33.47332636
576,Servipag,576-SANTA ISABEL LONQUEN,Calera De Tango,-70.79886254,-33.62344114
581,Servipag,581-TOTTUS PUENTE ALTO,Puente Alto,-70.57936142,-33.59380738
586,Servipag,586-BODEGAS SAN FRANCISCO,Pudahuel,-70.78413563,-33.45080099
589,Servipag,589-ENAER,El Bosque,-70.68694071,-33.56936227
590,Servipag,590-LIDER QUILICURA,Quilicura,-70.72986,-33.360227
639,Servipag,639-PORTAL EXPOSICION,Santiago,-70.6777745,-33.45123192
648,Servipag,648-MALL QUILICURA,Quilicura,-70.73085441077433,-33.367469405763785
653,Servipag,653-MONTSERRAT ISLA DE MAIPO,Isla De Maipo,-70.90192361986091,-33.7541454288765
654,Servipag,654-CTI,Maipu,-70.75544136,-33.52036542
661,Servipag,661-ACADEMIA DE GUERRA,La Reina,-70.53632398,-33.4448629
666,Servipag,666-INTERMODAL,La Cisterna,-70.66540141,-33.53662611
667,Servipag,667-JUMBO PLAZA PUENTE ALTO,Puente Alto,-70.5769777775113,-33.611698109931694
668,Servipag,668-METRO ESTACION TOBALABA,Providencia,-70.601564,-33.418081
669,Servipag,669-MALL PLAZA TOBALABA,Puente Alto,-70.5548673321197,-33.5694161245757
683,Servipag,683-LIDER LAS REJAS,Estacion Central,-70.70633884,-33.45717127
684,Servipag,684-LIDER OESTE,Cerrillos,-70.7098458919462,-33.5173362202943
686,Servipag,686-SANTIAGO CENTRO,Santiago,-70.64976092,-33.44338828
691,Servipag,691-PENAFLOR,Peñaflor,-70.8996138878165,-33.6084038324614
698,Servipag,698-SANTA ISABEL LA TRAVESIA,Pudahuel,-70.76315100000001,-33.451482
702,Servipag,702-CENTRO COMERCIAL PUMAY,Maipu,-70.757889,-33.510484000000005
707,Servipag,707-SANTA ISABEL LO MARCOLETA,Quilicura,-70.7453896,-33.36048697
709,Servipag,709-SANTA ISABEL VALLE GRANDE,Lampa,-70.746776,-33.323775
